video_order,youtube_id,duration_seconds,title_zh
1,BOSnYUGCU8I,517,甚麼是程式語言
2,H-ymGoLIj_A,625,C++程式語言簡介
3,un6sFoBvi-I,129,如何下戴和安裝DevC++
4,AXZmGISAWEw,370,撰寫第一個C++程式
5,R7mfwKEmtb8,477,C++程式的組成及語法規則
6,-rksKCPBYB8,409,C++的輸出與輸入
7,_ydYXxkOa5A,292,良好的程式撰寫習慣
8,yY0wYWmDZEs,394,C++的變數
9,5m1CPdaz_04,432,C++的資料型態與sizeof()
10,M3ukIvZ1Im0,538,字面常數
11,qj__PBFdZH0,352,唯讀變數
12,K6ZnUPVE-Lc,237,巨集常數
13,rh-2uj2KyXU,407,以enum定義列舉型別
14,slDMz_Cvumc,313,利用typedef為型別定義別名
15,t-KWkcvUKas,364,C++的四則運算
16,KC19DHuuej0,365,C++的餘數運算子
17,XBIIxKVQ784,524,C++的遞增遞減運算子
18,bkg3vGzMh6I,447,C++的比較運算子
19,_Ql5qZPUxa4,350,C++的邏輯運算子
20,Sz3CcxZEoNQ,542,C++的位元運算子
21,icMuHFUHrxM,181,C++的指定運算子
22,MFkm0QotQgQ,324,C++的複合運算子
23,XTzcFtajhOo,321,C++運算子的優先順序
24,xfT8FzZ-aeE,549,C++運算式的運算規則
25,x7CW013xZic,910,C++的流程控制：if-else
26,bHSf2ikdl_c,697,C++的流程控制：巢狀if-else
27,XIVzNYrpoUA,269,C++的條件運算子
28,0aLr-oO_K3Y,537,C++的switch多條件分支
29,W_NOYcUJg7w,523,C++的for迴圈
30,Ro9KO3zNrL0,463,C++的while迴圈
31,cIUf-kRwVmE,325,C++的do-while迴圈
32,5sUoP5hlDGs,586,C++的巢狀迴圈
33,X0loSYlipM8,190,C++的無窮迴圈
34,ZeDU6OlEA5g,333,C++的break與continue
35,5dWdlF6DVoA,243,C++的強制性流程控制goto
36,2MFSyplnTeY,617,C++的函式
37,wRNO-0RZ3ok,522,C++帶有參數的函式
38,i0DbwGk3dqk,568,C++函式的回傳值
39,gpK6qdT1lhg,554,C++的局部變數
40,B-s22k6u9JM,459,C++的全域變數
41,6FA5LxoQoaA,278,C++的外部變數
42,e8kPQm5JeEw,430,C++的行內函式
43,vFOHKODN6-s,409,C++的巨集函式
44,surjpb29Bqg,435,C++標準函式庫之數學函式
45,3KmMIrAtvdU,268,C++標準函式庫之時間函式
46,R2mzYvVJqnU,345,C++的函式多載
47,fOXEB0kjeoM,523,C++的遞迴函式
48,BJzC3oD_fXg,636,C++的陣列
49,hhXZBUP_znI,547,C++的字元陣列
50,-xy1bxnYWFo,390,C++的多維陣列
51,ff1Ee8o1nF0,389,C++的指標與參照
52,Tx2AJXQ-C9Q,355,C++的指標與陣列
53,RS4OCJPRskw,248,C++的指標陣列
54,0gdSvSD7NAw,548,C++的動態記憶體配置
55,2fodjWe6pLU,212,C++參考型別變數與別名
56,8GWWgbpPnY0,600,C++的傳址呼叫
57,OPkZCXmhZ3E,220,C++的傳參考呼叫
58,IxO7zlfVW6M,418,C++main函式的參數
59,1B3PsczpjVs,703,C++的物件導向與類別
60,0JAB-OILLH4,523,C++類別的成員函式
61,GVxFog-1wtw,362,C++類別的常數資料成員
62,garjw3H6b1c,489,C++類別的靜態資料成員
